part_number,name_en,category,years,engines,confidence,audit_status,occurrence_count,source_count,first_evidence
01121-03301,Bolt,body,"1991,1992,1993",,77,مدقق آليًا,6,4,"78911B 0124100431 NUT ﺻﺎﻣﻮﻟﺔ 02 W.SGL 10.1991 - 08.1993 63911A 0112103301 BOLT ﻣﺴﻤﺎر 02 *(W+HW+HV) W/PROTECTOR-END 63910M 6381206J00 OVER FENDER-FRONT,RH"
01121-03631,Bolt,general,"1988,1989,1990,1991,1992,1993",,92,مدقق آليًا بدرجة عالية,10,7,85020A 0113500091 BOLT ﻣﺴﻤﺎر 02 K +HK +W +HW +HV 10.1991 - 08.1993 85020A 0112103631 BOLT ﻣﺴﻤﺎر 02 K +HK +W +HW +HV 10.1991 - 08.1993
01121-05021,Bolt,body,"1991,1992,1993",,77,مدقق آليًا,6,4,"OVERRIDER ﻣﺠﻤﻮﻋﺔ-أﻣﺎﻣﻲ BUMPER,RH 01 (K+W+HW+T).(GL+SGL) 10.1991 - 08.1993 62022A 0112105021 BOLT ﻣﺴﻤﺎر 02 (K+W+HW).(GL+SGL) 10.1991 - 08.1993 62022A 0112105031 BOLT"
01121-05031,Bolt,general,"1991,1992,1993",,77,مدقق آليًا,6,4,62022A 0112105021 BOLT ﻣﺴﻤﺎر 02 (K+W+HW).(GL+SGL) 10.1991 - 08.1993 62022A 0112105031 BOLT ﻣﺴﻤﺎر 04 (K+W+HW).(GL+SGL) 10.1991 - 08.1993 62661 6206126J00 OVERRIDER ASSY-FRONT
01121-05701,Bolt,general,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,8,4,RB30S 09.1988 - ... 14711A 0112105701 BOLT ﻣﺴﻤﺎﺭ 02
01121-05851,Bolt,general,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,4,4,RB30S M6 X 75 | 09.1988 - ... 11710A 0112105851 BOLT ﻣﺴﻤﺎﺭ 01
01121-06031,Bolt,general,"1988,1989,1990,1991,1992,1993",,85,مدقق آليًا بدرجة عالية,12,6,081242851E ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 11220A 0112106031 BOLT ﻣﺴﻤﺎﺭ 08
01121-06171,Bolt,general,"1988,1989,1990,1991,1992,1993",,92,مدقق آليًا بدرجة عالية,10,7,57211B 5721941G00 NUT ﺻﺎﻣﻮﻟﺔ 03 K +HK +W +HW +HV 10.1991 - 08.1993 57210A 0112106171 BOLT ﻣﺴﻤﺎر 04 K +HK +W +HW +HV 10.1991 - 08.1993
01121-06501,Bolt,general,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,8,4,RB30S 09.1988 - ... 14053B 0112106501 BOLT ﻣﺴﻤﺎﺭ 08
01121-06691,Bolt-Oil Pump,fuel,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,8,4,RB30S 09.1988 - ... 15010A 0112106691 BOLT-OIL PUMP ﻣﺴﻤﺎﺭ-ﺯﻳﺖ ﻃﺮﻣﺒﺔ 04
01121-06701,Bolt-Oil Pump,fuel,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,8,4,RB30S 09.1988 - 12.1994 15010B 0112106701 BOLT-OIL PUMP ﻣﺴﻤﺎﺭ-ﺯﻳﺖ ﻃﺮﻣﺒﺔ 01
01121-06711,Bolt-Oil Pump,fuel,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,8,4,RB30S NDK | 11.1993 - 10.1994 15010C 0112106711 BOLT-OIL PUMP ﻣﺴﻤﺎﺭ-ﺯﻳﺖ ﻃﺮﻣﺒﺔ 01
01121-06721,Screw,general,"1988,1989,1990,1991",,75,مدقق آليًا,8,4,0812082028 ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 15010D 0112106721 SCREW ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
01121-06741,Bolt-Hex,general,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,8,4,RB30S 09.1988 - 12.1994 11916U 0112106741 BOLT-HEX ﻣﺴﻤﺎﺭ 01
01121-07161,Bolt,general,"1988,1989,1990,1991",,75,مدقق آليًا,8,4,083636125C ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 16165A 0112107161 BOLT ﻣﺴﻤﺎﺭ 05
01125-00062,Plug-Drain,general,"1988,1989,1990,1991,1992,1993","TB42S,TD42",97,مدقق آليًا بدرجة عالية,10,7,17201B 1723279900 PACKING-DRAIN PLUG ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 (K+HK+W+HV).(TB42S+TD42)10.1991 - 08.1993 17201A 0112500062 PLUG-DRAIN ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 (K+HK+W+HV).(TB42S+TD42)10.1991 - 08.1993
01125-00092,Bolt,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,98,12,K +HK +W +HW +HV 10.1991 - 08.1993 80550A 0112500092 BOLT ﻣﺴﻤﺎﺭ 04
01125-00931,Bolt,general,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,4,4,K.5P.RB30S +W.5P.RB30S +W.6P.RB30S D=13 | 09.1988 - 10.1991 24110A 0112500931 BOLT ﻣﺴﻤﺎﺭ 01
01125-01141,Bolt,electrical,"1988,1989,1990,1991,1992,1993",,92,مدقق آليًا بدرجة عالية,10,7,25080X 2508089903 SENSOR-TEMPERATURE ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993 26310A 0112501141 BOLT ﻣﺴﻤﺎر 02 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993 28457 25230C9963 RELAY ASSY-POWER WINDOW
01125-01181,Bolt,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997","RB30S,TB42S,TD42",100,مدقق آليًا بدرجة عالية,44,12,(K+HK+W+HW+HV).(TB42S+TD42) 10.1991 - 08.1993 11320A 0112501181 BOLT ﻣﺴﻤﺎﺭ 04
01135-00002,Bolt,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K +W 10.1991 - 10.1994 85020A 0113500002 BOLT ﻣﺴﻤﺎﺭ 02
01135-00091,Bolt,general,"1988,1989,1990,1991,1992,1993",,92,مدقق آليًا بدرجة عالية,10,7,08 (K+HK+W+HW+HV).ME PLATED 0836382598 0836382598 ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 85020A 0113500091 BOLT ﻣﺴﻤﺎر 02 K +HK +W +HW +HV 10.1991 - 08.1993 85020A 0112103631 BOLT
01135-00501,Bolt,body,"1991,1992,1993",,72,مدقق آليًا,12,4,01 *(K+W+HW+HV).(GL+SGL) F/FR GUARD BAR 089116082H 089116082H ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 62650B 0113500501 BOLT ﻣﺴﻤﺎر 01 *(K+HK+W+HW+HV+T+T.A) F/BMPR PLATED +FR WINCH 62650A 0113500561 BOLT-CARRIAGE
01135-00561,Bolt-Carriage,body,"1991,1992,1993",,77,مدقق آليًا,24,4,62650B 0113500501 BOLT ﻣﺴﻤﺎر 01 *(K+HK+W+HW+HV+T+T.A) F/BMPR PLATED +FR WINCH 62650A 0113500561 BOLT-CARRIAGE ﻣﺴﻤﺎرCARRIAGE 04 (K+W+HW).(GL+SGL) PLATED 62650A 0113500621 BOLT-CARRIAGE
01135-00581,Bolt,general,"1991,1992,1993",,72,مدقق آليًا,6,4,62650B 0113500501 BOLT ﻣﺴﻤﺎر 01 *(K+HK+W+HW+HV+T+T.A) F/BMPR PLATED +FR WINCH 62671A 0113500581 BOLT ﻣﺴﻤﺎر 02 *(K+HK+W+HW+HV) BLACK F/BMPR PLATED +FR WINCH
01135-00621,Bolt-Carriage,body,"1988,1989,1990,1991,1992,1993",,92,مدقق آليًا بدرجة عالية,16,7,62650A 0113500561 BOLT-CARRIAGE ﻣﺴﻤﺎرCARRIAGE 04 (K+W+HW).(GL+SGL) PLATED 62650A 0113500621 BOLT-CARRIAGE ﻣﺴﻤﺎرCARRIAGE 07 *(K+HK+W+HW+HV+T+T.A) GRAY F/FR WINCH 62650S 6202226J25 FASCIA KIT-FRONT BUMPER
01136-00151,Bolt,suspension,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,32,12,W.SGL 10.1991 - 08.1993 78820D 0113600151 BOLT ﻣﺴﻤﺎﺭ 12
01136-00161,Bolt,general,"1991,1992,1993",,77,مدقق آليًا,12,4,ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 089111082G 089111082G ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 63911G 0113600161 BOLT ﻣﺴﻤﺎر 14 W.SGL 10.1991 - 08.1993 78911A 0113600161 BOLT
01141-00021,"Bolt-Fixing,Retainer",general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,90,مدقق آليًا بدرجة عالية,22,12,"Specifications ﺍﻟﻤﻮﺍﺻﻔﺎﺕ 32139A 0114100021 BOLT-FIXING,RETAINER ﻣﺴﻤﺎﺭ 04"
01151-00471,Stud,general,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,8,4,RB30S 02.1997 - 09.1997 14003R 0115100471 STUD ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 12
01221-00111,Nut,general,"1988,1989,1990,1991",TB42S,82,مدقق آليًا,8,5,22441 22441N7110 BAND ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 01 TB42S HANSHIN 22433G 0122100111 NUT ﺻﺎﻣﻮﻟﺔ 03 TB42S M5 22460 2246003J10 RESISTOR-IGNITION COIL
01221-00241,Nut,electrical,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997","RB30S,TB42S",100,مدقق آليًا بدرجة عالية,42,12,ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 0813103810 0813103810 ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 23100C 0122100241 NUT ﺻﺎﻣﻮﻟﺔ 01 TB42S 08.1987 - 07.1995 11718M 11942D4000 BRACKET-ALTERNATOR ADJUST
01223-00061,Nut,general,"1988,1989,1990,1991",,80,مدقق آليًا,8,4,W 4SPOKE | 08.1995 - ... 48465B 0122300061 NUT ﺻﺎﻣﻮﻟﺔ 01
01223-00241,Nut,brake,"1991,1992,1993",,77,مدقق آليًا,6,4,اﻟﺘﻄﺒﻴﻖ Specifications اﻟﻤﻮاﺻﻔﺎت 48465B 0122300241 NUT ﺻﺎﻣﻮﻟﺔ 01 K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993 0831351698 0831351698
01225-00016,"Nut-Adjust,Valve Rocker",engine,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,40,11,"13252 1325203J00 SHAFT-ROCKER ﻋﻤﻮدROCKER 01 TB42S 08.1987 - 07.1997 13258B 0122500016 NUT-ADJUST,VALVE ROCKER ﺻﺎﻣﻮﻟﺔADJUST,ﺻﻤﺎمROCKER 12 TB42S 08.1987 - ..."
01225-00051,Nut,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,56,12,2S.(SGL.MT+3S/S) F/RR LSD | 10.1991 - 08.1993 38300D 0122500051 NUT ﺻﺎﻣﻮﻟﺔ 11
01225-00082,Nut-Body Mounting,general,"1988,1989,1990,1991",,75,مدقق آليًا,4,4,089128401A ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 95134B 0122500082 NUT-BODY MOUNTING ﺻﺎﻣﻮﻟﺔ-ﺑﻮﺩﻱ 08
01225-00102,Nut,general,"1988,1989,1990,1991,1992,1993","TB42S,TD42",97,مدقق آليًا بدرجة عالية,10,7,01 (W+HW+HV).TB42S + (W+HW+HV).TD42 10.1991 - 09.1994 17551B 0122500102 NUT ﺻﺎﻣﻮﻟﺔ 04 (W+HW+HV).TB42S + (W+HW+HV).TD42
01225-00112,"Nut-Lock,Rocker Pivot Screw",general,"1988,1989,1990,1991,1992,1993",TD42,95,مدقق آليًا بدرجة عالية,12,6,"TD42 08.1987 - ... 13234A 0122500112 NUT-LOCK,ROCKER PIVOT SCREW ﺻﺎﻣﻮﻟﺔ 12"
01225-00131,Nut,general,"1988,1989,1990,1991",,75,مدقق آليًا,4,4,089129441A ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 55611B 0122500131 NUT ﺻﺎﻣﻮﻟﺔ 01
01225-00202,Nut,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997","RB30S,TB42S,TD42",100,مدقق آليًا بدرجة عالية,88,12,Specifications ﺍﻟﻤﻮﺍﺻﻔﺎﺕ 11220B 0122500202 NUT ﺻﺎﻣﻮﻟﺔ 02
01225-00371,Nut,cooling,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,46,12,K +HK +W +HW +HV +T +T.A 10.1991 - 08.1993 27167F 0122500371 NUT ﺻﺎﻣﻮﻟﺔ 06
01225-00751,Nut,general,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,4,4,RB30S SELECT USE USUI | 09.1988 - 08.1993 21082C 0122500751 NUT ﺻﺎﻣﻮﻟﺔ 02
01225-01004,Nut,general,"1991,1992,1993","TB42S,TD42",82,مدقق آليًا,6,4,اﻟﻤﻮاﺻﻔﺎت 089111062G 089111062G ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 24420B 0122501004 NUT ﺻﺎﻣﻮﻟﺔ 02 TB42S +TD42 10.1991 - 08.1993
01241-00121,Nut,suspension,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,38,12,W.(GL+SGL) +HW.GL 10.1991 - 08.1993 82700B 0124100121 NUT ﺻﺎﻣﻮﻟﺔ 08
01241-00281,Nut-Spring,suspension,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,32,12,"W.SGL (#KH2,#2L7,#6H9) | 10.1991 - 08.1993 78820C 0124100281 NUT-SPRING ﺻﺎﻣﻮﻟﺔ-ﻳﺎﻱ 02"
01241-00421,Nut-Spring,suspension,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,W.5P +W.6P +HW.5P BLACK | 08.1987 - 10.1991 78820C 0124100421 NUT-SPRING ﺻﺎﻣﻮﻟﺔ 02
01241-00431,Nut,body,"1991,1992,1993",,77,مدقق آليًا,6,4,78911M 9382706J00 OVER FENDER-REAR LH OVER FENDER-ﺧﻠﻔﻲLH 01 W.SGL 10.1991 - 08.1993 78911B 0124100431 NUT ﺻﺎﻣﻮﻟﺔ 02 W.SGL 10.1991 - 08.1993 63911A 0112103301 BOLT
01241-00481,Nut,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,*K.2P +*K.5P.STD +*W.6P F/RR WIPER | 08.1987 - 10.1991 28735B 0124100481 NUT ﺻﺎﻣﻮﻟﺔ 03
01281-00061,Grommet-Screw,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,32,12,K.SGL +W.SGL (K) | 10.1991 - 08.1993 90900G 0128100061 GROMMET-SCREW ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 02
01281-00071,Grommet-Screw,suspension,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,60,12,(K+W+HW+T).(GL+SGL) 10.1991 - 08.1993 80940E 0128100071 GROMMET-SCREW ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 04
01281-00112,Grommet-Screw,cooling,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997","RB30S,TB42S",100,مدقق آليًا بدرجة عالية,68,11,+HW.ME.TB42S.GL +GEN.TB42S.DX 10.1991 - 08.1993 47473J 0128100112 GROMMET-VACUUM BRAKE GROMMET-VACUUM ﻓﺮاﻣﻞ 02 (K+W).ME.TB42S.(GL+SGL).MT.F5 +HW.ME.TB42S.GL
01281-00383,Grommet-Screw,general,"1988,1989,1990,1991",,80,مدقق آليًا,8,4,W 10.1991 - 08.1993 76951H 0128100383 GROMMET-SCREW ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 08
01281-00401,Grommet-Screw,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,32,12,0854051612 ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 84990E 0128100401 GROMMET-SCREW ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 05
01281-00411,Grommet-Screw,body,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,32,12,K +HK +W +HW +HV (C) | 10.1991 - 08.1993 90930E 0128100411 GROMMET-SCREW ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 02
01281-00441,Grommet-Screw,general,"1988,1989,1990,1991,1992,1993",,92,مدقق آليًا بدرجة عالية,10,7,78910B 63848D0100 NUT-J ﺻﺎﻣﻮﻟﺔJ 02 W.SGL 10.1991 - 08.1993 78911E 0128100441 GROMMET-SCREW ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 12 W.SGL 10.1991 - 08.1993 089111062G 089111062G
01281-00501,Grommet-Screw,body,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,36,12,W +HW +HV 10.1991 - 07.1995 76808B 0128100501 GROMMET-SCREW ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 08
01281-00541,Grommet-Screw,body,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,40,12,W.SGL (#531) | 10.1991 - 08.1993 78820E 0128100541 GROMMET-SCREW ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 08
01281-00551,Grommet-Screw,general,"1988,1989,1990,1991,1992,1993,1994",,95,مدقق آليًا بدرجة عالية,24,8,76954H 0128100561 GROMMET-SCREW ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 04 W +HW 10.1991 - 08.1993 76951H 0128100551 GROMMET-SCREW ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 08 W +HW 10.1991 - 11.1994 76955H 0128100551 GROMMET-SCREW
01281-00561,Grommet-Kicking Plate,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,28,11,"76955 7695406J02 PLATE-KICKING,REAR LH PLATE-KICKING,ﺧﻠﻔﻲLH 01 W +HW (A) 76950H 0128100561 GROMMET-KICKING PLATE ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 08 W +HW 10.1991 - ... 76954H 0128100561 GROMMET-SCREW"
01281-00601,Grommet-Screw,cooling,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997","RB30S,TB42S",100,مدقق آليًا بدرجة عالية,234,12,K.TB42S +HK +W.TB42S +HW.TB42S +HV.TB42S 10.1991 - 08.1993 24014H 0128100601 GROMMET-SCREW ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
01281-00861,Grommet-Screw,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,30,12,K +W +HW +HV 12V-21W | 10.1991 - 08.1993 26550E 0128100861 GROMMET-SCREW ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 04
01281-00871,Grommet-Screw,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,30,12,K +W +HW +HV F/SIDE | 10.1991 - 08.1993 26550E 0128100871 GROMMET-SCREW ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 04
01281-01221,Grommet-Screw,general,"1988,1989,1990,1991",,80,مدقق آليًا,12,4,K.2P +K.5P +W.5P +W.6P +HW.5P 12V-21W | 08.1987 - 04.1991 26550E 0128101221 GROMMET-SCREW ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 02
01308-00052,Washer,general,"1988,1989,1990,1991,1992,1993","TB42S,TD42",97,مدقق آليًا بدرجة عالية,10,7,+W.TB42S.SGL.MT.F5 +W.TD42.SGL 10.1991 - 08.1993 99601D 0130800052 WASHER واشر 04 W +HW +HV 10.1991 - 08.1993 74981W 7484941L05 COVER-HOLE
01311-00111,Washer,body,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,18,11,01 K +W.SGL +T.SGL 10.1991 - 08.1993 081106202C 081106202C ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 74616C 0131100111 WASHER واشر 06 W +HW +HV 10.1991 - ... 74353M 7483106J00 BRACKET-FRONT SEAT
01331-00082,Washer,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P F/LH | 08.1987 - 10.1991 48610C 0133100082 WASHER ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
01411-00131,Bolt,brake,"1989,1990,1991","TB42S,TD42",77,مدقق آليًا,6,4,"44000K 4406005J87 PAD KIT-DISC BRAKE,REAR PAD ﻃﻘﻢDISC ﻓﺮاﻣﻞ,ﺧﻠﻔﻲ 01 *(K+HK+W+HW).(TB42S+TD42)F/BRAKE-4WHL DISC 44205A 0141100131 BOLT ﻣﺴﻤﺎر 06 *(K+HK+W+HW).(TB42S+TD42)F/BRAKE-4WHL DISC"
01411-00161,Bolt-Rocker Cover,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",TB42S,100,مدقق آليًا بدرجة عالية,42,12,11056C 11058H1001 WASHER-PLAIN واشرPLAIN 26 TB42S 08.1987 - ... 13264A 0141100161 BOLT-ROCKER COVER ﻣﺴﻤﺎرROCKER ﻏﻄﺎء 15 TB42S 08.1987 - ... 14049 14875W1301 CONNECTOR ASSY-HEATER
01412-00041,Screw,cooling,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,206,12,K +HK +W +HW +HV 10.1991 - 08.1993 87418A 0141200041 SCREW ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 02
01432-00051,Screw,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,64,12,(K+W+HW).(GL+SGL) +T.SGL 10.1991 - 08.1993 80570A 0143200051 SCREW ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 04
01432-00163,Screw,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P 08.1987 - 10.1991 80670A 0143200163 SCREW ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 06
01433-00043,Screw,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,*K.2P +*K.5P +*W.5P +*W.6P +*HW.5P MAVERICK | 08.1987 - 10.1991 80570A 0143300043 SCREW ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 04
