id,company_name,country,region,official_website,contact_email,contact_form,contact_person,phone,linkedin,x,facebook,instagram,parts_types,sells_oem,sells_aftermarket,supports_international_shipping,ships_to,site_languages,affiliate_program,api_available,partnership_program,link_terms,external_link_allowed,developer_program,legal_notes,importance_score,importance_reason,source_urls,verification_status,outreach,negotiation_status,last_updated,review_flags,recommended_next_action
petromin-nissan-ksa,Petromin Nissan,Saudi Arabia,GCC / Middle East,https://nissan.petromin.com/,crm.management@petromin.com,https://nissan.petromin.com/contact-us/,,8004420010 / 920009058,,,,,official Nissan genuine parts; accessories; dealer service,True,False,unknown_needs_confirmation,Saudi Arabia,ar; en,unknown,unknown,unknown,Official dealer relationship requires formal permission and brand/legal approval.,unknown_pending_written_permission,unknown,Official Nissan dealer; avoid use of Nissan marks beyond nominative app context unless approved.,99,Official authorized Nissan retail dealer in Saudi Arabia.,https://nissan.petromin.com/; https://en.nissan-saudiarabia.com/about-nissan/press-releases/nissan-appoints-petromin.html,public_source_reviewed,"{""status"": ""sent_awaiting_reply"", ""last_sent_at"": ""2026-07-18"", ""next_follow_up_at"": ""2026-07-25"", ""history"": [""Permission request sent via Gmail on 2026-07-18. Subject: Permission request for Nissan Patrol owner redirection via Batal Al-Droob. Gmail message ID: 19f736942b9a8b54.""]}",awaiting_reply,2026-07-18,,"Wait until 2026-07-25, then send one polite follow-up only if no reply or delivery error is received."
arabian-automobiles-uae,Arabian Automobiles,United Arab Emirates,GCC / Middle East,https://www.arabianautomobiles.com/,crm@awrostamani.com,https://www.arabianautomobiles.com/contact-us,,800-NISSAN,,,,,official Nissan dealer services; genuine parts,True,False,False,UAE,ar; en,unknown,unknown,unknown,Formal dealer/brand approval required before any partner listing.,unknown_pending_written_permission,unknown,Official dealer; require written terms for brand references and lead routing.,93,Major UAE Nissan dealer route for genuine parts and service.,https://www.moec.gov.ae/en/recalls/-/asset_publisher/aeChCh2R5UuE/content/nissan-cvt-tcm-patrol-cars-2021-2024,public_source_reviewed,"{""status"": ""sent_awaiting_reply"", ""last_sent_at"": ""2026-07-18"", ""next_follow_up_at"": ""2026-07-25"", ""history"": [""Permission request sent via Gmail on 2026-07-18. Subject: Permission request for Nissan Patrol owner redirection via Batal Al-Droob. Gmail message ID: 19f7369529e359e2.""]}",awaiting_reply,2026-07-18,Official dealer; route through official contact and avoid partnership wording until legal approval.,"Wait until 2026-07-25, then send one polite follow-up only if no reply or delivery error is received."
al-masaood-automobiles-uae,Al Masaood Automobiles,United Arab Emirates,GCC / Middle East,https://en.nissan-abudhabi.com/,feedback@masaood.com,https://en.nissan-abudhabi.com/contact-us.html,,+971 2 449 2596,,,,,official Nissan dealer services; genuine parts,True,False,False,UAE,ar; en,unknown,unknown,unknown,Formal approval required for direct user routing and brand references.,unknown_pending_written_permission,unknown,Official dealer; avoid implying partnership until approved.,92,Official Nissan dealer route in Abu Dhabi region.,https://www.moec.gov.ae/en/recalls/-/asset_publisher/aeChCh2R5UuE/content/nissan-cvt-tcm-patrol-cars-2021-2024,public_source_reviewed,"{""status"": ""sent_awaiting_reply"", ""last_sent_at"": ""2026-07-18"", ""next_follow_up_at"": ""2026-07-25"", ""history"": [""Permission request sent via Gmail on 2026-07-18. Subject: Permission request for Nissan Patrol owner redirection via Batal Al-Droob. Gmail message ID: 19f7369629d82394.""]}",awaiting_reply,2026-07-18,Official dealer; route through official contact and avoid partnership wording until legal approval.,"Wait until 2026-07-25, then send one polite follow-up only if no reply or delivery error is received."
nissanpartsdeal-us,NissanPartsDeal,United States,North America / Global,https://www.nissanpartsdeal.com/,support@nissanpartsdeal.com,https://www.nissanpartsdeal.com/service/nissan-help_center.html,,+1 888 726 6993,,,,,genuine OEM Nissan parts; part number lookup,True,False,True,International via FedEx per public help center,en,unknown,unknown,unknown,Ask permission for OEM part-number search links and clarify international shipping support.,unknown_pending_written_permission,unknown,Do not copy OEM catalog data or diagrams.,88,US genuine OEM Nissan parts source with international shipping.,https://www.nissanpartsdeal.com/service/nissan-help_center.html; https://www.trustpilot.com/review/nissanpartsdeal.com,public_source_reviewed,"{""status"": ""sent_awaiting_reply"", ""last_sent_at"": ""2026-07-18"", ""next_follow_up_at"": ""2026-07-25"", ""history"": [""Permission request sent via Gmail on 2026-07-18. Subject: Request to link Nissan Patrol users to NissanPartsDeal part searches. Gmail message ID: 19f7369790b387db.""]}",awaiting_reply,2026-07-18,,"Wait until 2026-07-25, then send one polite follow-up only if no reply or delivery error is received."
z1-off-road,Z1 Off-Road,United States,North America,https://www.z1offroad.com/,info@z1offroad.com,https://www.z1offroad.com/contact_us.php,,+1 678 839 8019,,,,,Nissan truck/off-road parts; OEM; aftermarket; performance,True,True,unknown_needs_confirmation,United States; unknown_needs_confirmation,en,unknown,unknown,unknown,Clarify Patrol coverage and whether global users may be linked to relevant Nissan/off-road products.,unknown_pending_written_permission,unknown,Patrol relevance may be limited by market; verify before ranking highly in app.,72,Large Nissan/Infiniti off-road retailer; useful for aftermarket/performance overlap.,https://www.z1offroad.com/,public_source_reviewed,"{""status"": ""sent_awaiting_reply"", ""last_sent_at"": ""2026-07-18"", ""next_follow_up_at"": ""2026-07-25"", ""history"": [""Permission request sent via Gmail to the official address info@z1offroad.com on 2026-07-18. Subject: Partnership and External Linking Request for Batal Al-Droob. Gmail message ID: 19f738b32655e9db.""]}",awaiting_reply,2026-07-18,Patrol-specific relevance is indirect; verify Y60/Y61/Y62 coverage before high-priority integration.,"Wait until 2026-07-25, then send one polite follow-up only if no reply or delivery error is received."
milner-off-road,Milner Off Road,United Kingdom,Europe,https://www.milneroffroad.com/,sales@milneroffroad.com,https://www.milneroffroad.com/contact-us,Trevor Milner (public directory listing),+44 1629 734411,,,,,Japanese 4x4 parts; manufacturer parts; accessories,True,True,unknown_needs_confirmation,United Kingdom; unknown_needs_confirmation,en,unknown,unknown,unknown,Request direct linking/search permission for Patrol/Y60/Y61/Y62 parts where available.,unknown_pending_written_permission,unknown,Confirm product coverage and brand-use terms before app listing.,78,UK Japanese 4x4 parts specialist with part diagrams and manufacturer parts.,https://www.bizseek.co.uk/milner-off-road-ltd-01629-734411; https://milneroffroad-qa.kerridgecs.online/,public_source_reviewed,"{""status"": ""sent_awaiting_reply"", ""last_sent_at"": ""2026-07-18"", ""next_follow_up_at"": ""2026-07-25"", ""history"": [""Permission request sent via Gmail on 2026-07-18. Subject: Permission request for Nissan Patrol parts referrals from Batal Al-Droob. Gmail message ID: 19f7369866c03164.""]}",awaiting_reply,2026-07-18,One source used a QA/staging domain for evidence; confirm current production contact before sending.,"Wait until 2026-07-25, then send one polite follow-up only if no reply or delivery error is received."
national-car-parts-nz,National Car Parts,New Zealand,Oceania,https://nationalcarparts.co.nz/nissan/patrol-parts,parts@ncp.co.nz,https://ncp.co.nz/contact/,,+64 9 579 5152,,,,,used parts; wrecking/salvage; Patrol parts,used_oem_possible_needs_confirmation,unknown,unknown_needs_confirmation,New Zealand; unknown_needs_confirmation,en,unknown,unknown,unknown,Ask for permission to route used-part requests and clarify inventory-linking rules.,unknown_pending_written_permission,unknown,Used-parts availability changes; do not display stock or price unless API/permission exists.,80,Patrol used-parts and wrecking lead source in New Zealand.,https://nationalcarparts.co.nz/nissan/patrol-parts; https://nationalcarparts.co.nz/wrecking/nissan/; https://ncp.co.nz/contact/,public_source_reviewed,"{""status"": ""sent_awaiting_reply"", ""last_sent_at"": ""2026-07-18"", ""next_follow_up_at"": ""2026-07-25"", ""history"": [""Permission request sent via Gmail to the official parts address parts@ncp.co.nz on 2026-07-18. Subject: Partnership and External Linking Request for Batal Al-Droob. Gmail message ID: 19f7379accdd5ec0.""]}",awaiting_reply,2026-07-18,,"Wait until 2026-07-25, then send one polite follow-up only if no reply or delivery error is received."
nissinparts-nz,Nissinparts,New Zealand,Oceania / Global,https://www.nissinparts.co.nz/,sales@nissinparts.co.nz,https://www.nissinparts.co.nz/,,+64 3 377 8811,,,,,second-hand Nissan parts; used parts,used_oem_possible_needs_confirmation,unknown,True,150+ countries per public site,en,unknown,unknown,unknown,Ask for permission to route used Nissan part requests and clarify search/deep-link options.,unknown_pending_written_permission,unknown,Used-part details should remain on supplier site unless permission/API exists.,82,New Zealand Nissan parts specialist with international shipping claim.,https://www.nissinparts.co.nz/,public_source_reviewed,"{""status"": ""sent_awaiting_reply"", ""last_sent_at"": ""2026-07-18"", ""next_follow_up_at"": ""2026-07-25"", ""history"": [""Permission request sent via Gmail to the official address sales@nissinparts.co.nz on 2026-07-18. Subject: Partnership and External Linking Request for Batal Al-Droob. Gmail message ID: 19f738c40ca22df3.""]}",awaiting_reply,2026-07-18,,"Wait until 2026-07-25, then send one polite follow-up only if no reply or delivery error is received."
nissan-new-zealand,Nissan New Zealand,New Zealand,Oceania,https://www.nissan.co.nz/,,https://www.nissan.co.nz/about-nissan/contact-us.html,,0800 464 7726,,,,,official Nissan genuine parts; dealer network,True,False,False,New Zealand dealer network,en,unknown,unknown,unknown,Official Nissan distributor/dealer network requires formal legal/brand approval.,unknown_pending_written_permission,unknown,Use dealer locator/contact routing only after permission and trademark review.,85,Official Nissan channel for New Zealand users.,https://www.nissan.co.nz/service/parts-and-accessories.html; https://www.nissan.co.nz/contact-us.html,public_source_reviewed,"{""status"": ""manual_captcha_required"", ""last_sent_at"": null, ""next_follow_up_at"": null, ""history"": []}",not_started_manual_captcha_required,2026-07-18,The official customer service form requires reCAPTCHA and directs parts enquiries to the nearest authorised dealer.; No suitable verified public business email was found; financial-services and privacy addresses must not be used for this request.; A human must complete reCAPTCHA before the official form can be submitted.,"Open the official customer service form, select Parts Enquiry, complete reCAPTCHA manually, and submit the reviewed partnership request; alternatively route it through an authorised Nissan New Zealand dealer."
fuso-auto-parts-trading,Fuso Auto Parts Trading Co.,Japan,Asia / Japan,,info@fuso-auto.co.jp,,Taka,,,,,,genuine Japanese-origin auto parts; general auto parts,unknown_needs_confirmation,unknown_needs_confirmation,does_not_export_to_ksa,not Saudi Arabia under current SASO constraints,en; ja,unknown,unknown,declined_for_current_ksa_scope,Do not route Saudi/KSA users or present this supplier as available for Batal Al-Droob without a new written approval.,declined_for_current_scope,unknown,Fuso declined the proposal because they are not exporting to KSA due to SASO requirements.,60,"Japanese genuine-parts source, but not usable for the current Saudi/Gulf routing scope after written decline.",Gmail thread 19f8089f776819ef; Reply message 19f82249f45fb48b,email_reply_verified,"{""status"": ""declined_no_ksa_export"", ""last_sent_at"": ""2026-07-20"", ""next_follow_up_at"": null, ""history"": [""Permission request sent by Gmail on 2026-07-20 to info@fuso-auto.co.jp. Gmail message ID: 19f8089f776819ef."", ""Reply received on 2026-07-21 from Taka / Fuso Auto Parts Trading Co.: declined because they are not exporting to KSA due to SASO requirements. Gmail message ID: 19f82249f45fb48b.""]}",declined_current_scope,2026-07-28,Written decline recorded; do not list as an approved partner.; Do not direct Saudi/KSA users to this supplier unless Fuso later gives new written approval and confirms export availability.,No follow-up for the current Saudi/Gulf supplier-routing scope. Revisit only if the app expands to non-KSA markets or Fuso changes export policy in writing.
nissan-philippines,Nissan Philippines Customer Assistance Center,Philippines,Asia / Philippines,,customersupport@nissan.ph,,,09276009557; 09535786804; 09535786803,,,,,official Nissan customer support; dealer guidance,unknown_needs_confirmation,False,False,Philippines only / regional support scope,en,unknown,unknown,not_available_from_this_contact,This contact cannot approve Saudi/Gulf linking or partnership requests; do not treat as authorization.,not_authorized_by_this_contact,unknown,Nissan Philippines stated they can only assist with Nissan vehicles and dealerships within the Philippines and recommended contacting Nissan support or regional office in the requester country.,45,"Official Nissan regional support contact, but out of scope for Saudi/Gulf Batal Al-Droob supplier routing.",Gmail thread 19f808895475cb83; Reply message 19f832f3076e6c97,email_reply_verified,"{""status"": ""closed_wrong_region_referred_to_local_nissan"", ""last_sent_at"": ""2026-07-20"", ""next_follow_up_at"": null, ""history"": [""Permission guidance request sent by Gmail on 2026-07-20 to customersupport@nissan.ph. Gmail message ID: 19f808895475cb83."", ""Reply received on 2026-07-21: Nissan Philippines cannot assist with Saudi/Gulf requests and recommends contacting Nissan customer support or regional office in the relevant country. Gmail message ID: 19f832f3076e6c97.""]}",closed_no_permission_wrong_region,2026-07-28,"No written approval granted.; Do not use Nissan Philippines as approval evidence for Batal Al-Droob links, OEM routing, or partner claims in Saudi/Gulf markets.",Do not follow up with Nissan Philippines for this scope. Route any official Nissan approval request to Nissan Saudi Arabia/Gulf regional office or authorized local dealer channel.
uae-oem-parts,UAE OEM Parts,United Arab Emirates,GCC / Middle East,https://uaeoemparts.com/contact/,supercarparts.contact@gmail.com,https://uaeoemparts.com/contact/,James Kwon,+821089326932,,,,,Genuine OEM European premium parts; OEM part-number inquiry review; Nissan parts inquiries reviewed when possible,True,unknown,unknown_needs_confirmation_for_each_request,UAE; Middle East; unknown_needs_confirmation_for_Saudi_Arabia,en,unknown,unknown,supplier_directory_written_permission,"Written permission received to include UAE OEM Parts in the Batal Al-Droob supplier directory and route user-initiated OEM/VIN inquiries. Do not copy prices, stock, product images, catalog content, or protected data. Do not imply Nissan authorization or exclusive Patrol specialization.",True,unknown,"Approved supplier-directory listing only. UAE OEM Parts primarily specializes in Genuine OEM parts for European premium brands and can review Nissan parts inquiries whenever possible. No official Nissan affiliation, endorsement, API access, affiliate program, inventory integration, or pricing permission is granted by this email.",86,"Written approval received for supplier-directory inclusion; useful as an OEM inquiry fallback for part-number/VIN review, but not a Patrol-only supplier.",https://uaeoemparts.com/contact/; https://supercarparts.asia/; Gmail thread 19f8067318b9910c; reply message 19fb07dfd0c70b82,written_email_approval_verified,"{""status"": ""approved_written_permission"", ""last_sent_at"": ""2026-07-20"", ""next_follow_up_at"": null, ""history"": [""Permission request sent via Gmail on 2026-07-20. Subject: Permission request for OEM Nissan parts referrals from Batal Al-Droob. Gmail thread ID: 19f8067318b9910c."", ""Written approval received on 2026-07-30 from Ohsung kwon / James Kwon at supercarparts.contact@gmail.com: \""We would be happy to be included in the Batal Al-Droob supplier directory.\"" Reply message ID: 19fb07dfd0c70b82.""]}",approved,2026-07-30,"Do not present UAE OEM Parts as an official Nissan dealer or endorsed Nissan partner.; Do not present UAE OEM Parts as a Patrol-only specialist; they primarily specialize in European premium OEM parts.; Confirm availability, shipping, final price, and compatibility directly with the supplier for every user inquiry.","Keep the in-app listing as a permission-approved external inquiry option. Ask a follow-up only if stronger Nissan/Patrol coverage, API access, affiliate terms, logo use, or partner wording is needed."
